,Seconds,Minutes,Oxy Electrode 1 Last (V),OxyElectrode 2 Last (V),OxyElectrode 3 Last (V)
125:38:17,0,0,0.81,0.579,0.678
125:38:18,1,0.016666667,0.809,0.579,0.671
125:38:19,2,0.033333333,0.809,0.578,0.662
125:38:20,3,0.05,0.808,0.578,0.656
125:38:21,4,0.066666667,0.808,0.578,0.648
125:38:22,5,0.083333333,0.808,0.578,0.643
125:38:23,6,0.1,0.806,0.577,0.636
125:38:24,7,0.116666667,0.806,0.577,0.631
125:38:25,8,0.133333333,0.804,0.576,0.626
125:38:26,9,0.15,0.805,0.576,0.621
125:38:27,10,0.166666667,0.803,0.575,0.616
125:38:28,11,0.183333333,0.804,0.575,0.612
125:38:29,12,0.2,0.803,0.575,0.608
125:38:30,13,0.216666667,0.802,0.575,0.605
125:38:31,14,0.233333333,0.803,0.574,0.601
125:38:32,15,0.25,0.801,0.574,0.597
125:38:33,16,0.266666667,0.803,0.574,0.595
125:38:34,17,0.283333333,0.8,0.573,0.592
125:38:35,18,0.3,0.802,0.574,0.59
125:38:36,19,0.316666667,0.801,0.573,0.587
125:38:37,20,0.333333333,0.801,0.573,0.586
125:38:38,21,0.35,0.801,0.573,0.585
125:38:39,22,0.366666667,0.801,0.574,0.592
125:38:40,23,0.383333333,0.802,0.574,0.601
125:38:41,24,0.4,0.802,0.574,0.611
125:38:42,25,0.416666667,0.802,0.574,0.619
125:38:43,26,0.433333333,0.804,0.575,0.625
125:38:44,27,0.45,0.802,0.575,0.63
125:38:45,28,0.466666667,0.804,0.575,0.634
125:38:46,29,0.483333333,0.803,0.575,0.637
125:38:47,30,0.5,0.803,0.575,0.641
125:38:48,31,0.516666667,0.804,0.576,0.643
125:38:49,32,0.533333333,0.803,0.575,0.645
125:38:50,33,0.55,0.805,0.576,0.647
125:38:51,34,0.566666667,0.804,0.576,0.65
125:38:52,35,0.583333333,0.805,0.576,0.657
125:38:53,36,0.6,0.805,0.576,0.667
125:38:54,37,0.616666667,0.805,0.577,0.674
125:38:55,38,0.633333333,0.805,0.577,0.681
125:38:56,39,0.65,0.808,0.577,0.685
125:38:57,40,0.666666667,0.806,0.576,0.689
125:38:58,41,0.683333333,0.808,0.576,0.692
125:38:59,42,0.7,0.807,0.576,0.692
125:39:00,43,0.716666667,0.807,0.576,0.695
125:39:01,44,0.733333333,0.808,0.576,0.696
125:39:02,45,0.75,0.807,0.575,0.698
125:39:03,46,0.766666667,0.807,0.575,0.699
125:39:04,47,0.783333333,0.808,0.575,0.7
125:39:05,48,0.8,0.806,0.575,0.7
125:39:06,49,0.816666667,0.807,0.575,0.701
125:39:07,50,0.833333333,0.808,0.574,0.702
125:39:08,51,0.85,0.807,0.574,0.701
125:39:09,52,0.866666667,0.808,0.574,0.702
125:39:10,53,0.883333333,0.808,0.574,0.699
125:39:11,54,0.9,0.807,0.574,0.7
125:39:12,55,0.916666667,0.808,0.574,0.701
125:39:13,56,0.933333333,0.809,0.574,0.703
125:39:14,57,0.95,0.807,0.573,0.704
125:39:15,58,0.966666667,0.808,0.574,0.705
125:39:16,59,0.983333333,0.807,0.574,0.703
125:39:17,60,1,0.808,0.574,0.701
125:39:18,61,1.016666667,0.808,0.574,0.698
125:39:19,62,1.033333333,0.807,0.574,0.697
125:39:20,63,1.05,0.807,0.575,0.697
125:39:21,64,1.066666667,0.808,0.575,0.695
125:39:22,65,1.083333333,0.807,0.575,0.694
125:39:23,66,1.1,0.807,0.575,0.698
125:39:24,67,1.116666667,0.808,0.575,0.701
